year,country,gdp_growth,gross_capital_fromation,patent_resident,patent_n_resident,fdi,unemp,fdi_bop,net_trade,gov_exp_edu,inf,pop
1985,China,13.4306775204146,39.064106893606,4065,4493,0.536046583129515,1.8,-1.03e+09,-1.3123e+10,2.00814008712769,10.2093990441261,1051040000
1986,China,8.94996176439109,37.7270016851388,3494,4515,0.623424605798281,2,-1.425e+09,-9.14e+09,2.06154990196228,4.66902079731935,1066790000
1987,China,11.6574277931257,37.320879776941,3975,4084,0.847702964733309,2,-1.669e+09,-1.661e+09,1.80425000190735,5.08251646766406,1084035000
1988,China,11.222594982521,39.0783093902467,4780,4872,1.02255894629729,2,-2.344e+09,-5.315e+09,1.76417994499207,12.1076614989562,1101630000
1989,China,4.20633435548258,37.2086867816609,4749,4910,0.97565028966922,2.6,-2.613e+09,-5.62e+09,,8.60246513371632,1118650000
1990,China,3.9202513677681,34.157848854484,5832,4305,0.966308310992784,2.5,-2.657e+09,9.165e+09,,5.71122416868202,1135185000
1991,China,9.26278608516616,35.2363600512445,7372,4051,1.13883773180262,2.3,-3.453e+09,8.743e+09,,6.71453695848909,1150780000
1992,China,14.2245295924965,39.0718680056364,10022,4387,2.61316219284371,2.3,-7.156e+09,5.183e+09,1.65455996990204,8.19032302163217,1164970000
1993,China,13.8837293017729,43.2831497569643,12084,7534,6.18688207614214,2.6,-2.3115e+10,-1.0654e+10,1.65785002708435,15.1858645089504,1178440000
1994,China,13.0368066326745,40.0502854739137,11191,7876,5.98718616500824,2.8,-3.1787e+10,7.29e+09,1.98571002483368,20.6169888119177,1191835000
1995,China,10.9539543419,38.8377197998557,10011,8688,4.88086319996149,2.9,-33849200000,18050110000,1.84192001819611,13.6656964001969,1204855000
1996,China,9.92255675282291,37.5417204673365,11628,11114,4.65181266315599,3,-3.8066e+10,1.9535e+10,1.85338997840881,6.50673063542777,1217550000
1997,China,9.23677989187537,35.5229456528019,12672,12102,4.72534384272724,3.1,-4.1674e+10,1.3552e+10,,1.61656874206059,1230075000
1998,China,7.84595178729862,34.8136823326466,13751,33645,4.43550102416557,3.1,-4.1117e+10,8.662e+09,1.84432995319366,-0.900251628944076,1241935000
1999,China,7.6616515004031,34.1097089114429,15626,34418,3.74898123668431,3.1,-3.6978e+10,-3.342e+09,1.88803994655609,-1.26305893875535,1252735000
2000,China,8.49009340597647,33.5730284937681,25346,26560,3.47512590256774,3.707,-37483300000,-13565524000,,2.06279261346987,1262645000
2001,China,8.33573347817196,35.5415967198136,30038,33412,3.5129885385098,3.6,-3.7357e+10,-2.2568e+10,,2.04704945728633,1271850000
2002,China,9.13363078966614,36.1534434433744,39806,40426,3.60908113491298,4,-46789569178.7806,-18020418974.554,,0.602099078250106,1280400000
2003,China,10.0380304810393,39.6201305878555,56769,48548,3.48741889929233,4.3,-49444853743.8231,33689172314.978,,2.60317771902103,1288400000
2004,China,10.1136213776263,41.8471972608319,65786,64598,3.48364153462976,4.2,-60144670467.5079,44895552672.967,,6.95199268086466,1296075000
2005,China,11.3945918098927,40.3461495465792,93485,79842,4.55426348223621,4.2,-90379127564.2216,130128746434.245,2.39190554618835,3.90374426907985,1303720000
2006,China,12.7209556654032,39.9103386970019,122318,88183,4.508600502911,4.1,-100149837150.968,215686120289.525,2.44128441810608,3.92654939643413,1311020000
2007,China,14.2308609331955,40.4821901688549,153060,92101,4.40098334219288,4,-139094535501.613,302846264377.353,2.70073485374451,7.74968649303898,1317885000
2008,China,9.65067891939361,42.2690268131211,194579,95259,3.73361071056151,4.2,-114792373681.872,344467617306.543,3.63178825378418,7.79534603698191,1324655000
2009,China,9.39872563259674,45.3562358300454,229096,85508,2.56889430733347,4.3,-87167067369.5,235476707260.086,3.75152206420898,-0.209533361180647,1331260000
2010,China,10.6358710644913,46.5561547048834,293066,98111,4.00354456866118,4.1,-185749835191.821,238086469487.912,3.55966520309448,6.88138025334055,1337705000
2011,China,9.55083217877568,46.6601210962037,415829,110583,3.70880651655626,4.1,-231651578090.287,228700752633.924,3.80921697616577,8.07568446704094,1345035000
2012,China,7.86373644862111,46.2252655950979,535313,117464,2.82710533551379,4.1,-176250481637.42,311569753155.18,4.29788875579834,2.33121757581199,1354190000
2013,China,7.76615009773009,46.3989493360759,704936,120200,3.03985486260271,4.05,-217957551783.694,358981297739.869,4.1298041343689,2.16337002665455,1363240000
2014,China,7.42576365632412,45.8239527573535,801135,127042,2.55924761041391,4.1,-144967626758.575,435041621802.113,4.10536003112793,1.03106368780396,1371860000
2015,China,7.04132887873656,43.2348066562247,968252,133612,2.19217773086009,,-68098649764.7788,576191072365.713,4.24201250076294,-0.00294409364951775,1379860000
2016,China,6.84876220495761,42.6313769323417,1204981,133522,1.55563699883085,,41674876169.524,488882999359.099,4.20638513565063,1.40734602732051,1387790000
2017,China,6.94720079331685,43.0132973858151,1245709,135885,1.34912369633213,3.9,-27790987919.5091,475941413133.88,4.11133146286011,4.2326819752236,1396215000
2018,China,6.7497738324959,43.7934751722352,1393815,148187,1.69389428446517,4.93,-92338473352.4803,380073518632,4.02442407608032,3.49974763567195,1402760000
2019,China,5.95050075367414,43.2511056433479,1243568,157093,1.31071593247948,5.15,-50259822364.755,392993328222.907,4.05939483642578,1.28670040766232,1407745000
2020,China,2.23863835634639,43.3666742339174,1344817,152342,1.72317554862906,5.61,-99374807720.47,511102979562.015,4.2333812713623,0.49249391805742,1411100000
2021,China,8.44846941687277,43.1402990748017,1426644,159019,1.93078622294539,5.11,-165277237079.6,562705946181.3,3.98832511901855,4.55232657897571,1412360000
1985,United States,4.1695753468006,24.1883401602082,63673,51562,0.221941613453303,7.2,-5.95e+09,-1.22165e+11,,3.16252525583639,237924000
1986,United States,3.46265505318908,23.7406245175648,65195,55721,0.675731298001957,7,-1.1422e+10,-1.45068e+11,,2.01389253563396,240133000
1987,United States,3.45462966457824,23.6202310299338,68315,63522,1.30241400226355,6.2,-2.3438e+10,-1.59551e+11,,2.47738846679574,242289000
1988,United States,4.17698239778066,22.827807757869,75192,68644,1.08680748249096,5.5,-3.5209e+10,-1.2696e+11,,3.52749985937888,244499000
1989,United States,3.67223783573645,22.5137993257208,82370,76337,1.34324072334346,5.3,-2.48e+10,-1.17756e+11,,3.92075948089523,246819000
1990,United States,1.8859655853434,21.5292134484762,90643,80520,1.19450410722934,5.6,-1.129e+10,-1.11042e+11,,3.74332909937958,249623000
1991,United States,-0.108312888962658,20.1106050230516,87955,84160,0.56104703230478,6.8,1.472e+10,-7.694e+10,,3.3818113361103,252981000
1992,United States,3.52249718409405,20.0775819985715,92425,90922,0.464853986617542,7.5,2.846e+10,-9.6897e+10,,2.27885434592147,256514000
1993,United States,2.75179586183873,20.39362787431,99955,84241,0.732369583756588,6.9,3.257e+10,-1.32451e+11,,2.37032483639894,259919000
1994,United States,4.02902272904724,21.2790967659069,107233,95522,0.767643589421284,6.119,3.405e+10,-1.65831e+11,,2.13519841812374,263126000
1995,United States,2.68443073540719,21.2726491406982,123962,104180,0.904218188320061,5.65,4.098e+10,-1.7417e+11,,2.09668848657614,266278000
1996,United States,3.7727726858688,21.7018149855781,106892,105054,1.20969310261879,5.451,5.36e+09,-1.91e+11,,1.83076455933455,269394000
1997,United States,4.44712794186451,22.4097154992473,119214,101282,1.4240659805968,5,-7.7e+08,-1.98428e+11,,1.72444795356148,272657000
1998,United States,4.48313334577439,22.9583362435764,134733,102246,2.32984953795271,4.511,-3.639e+10,-2.48221e+11,,1.12386562495534,275854000
1999,United States,4.78842505322162,23.4191332062183,149251,116512,3.244143080406,4.219,-6.4964e+10,-3.37067e+11,,1.41509811709537,279040000
2000,United States,4.07758575804293,23.6783666531655,164795,131100,3.40578123865959,3.992,-1.62755e+11,-4.46783e+11,6.08564949035645,2.26519517669861,282162411
2001,United States,0.955538346430316,22.17672222144,177513,148958,1.63009976725416,4.731,-2.6455e+10,-4.22368e+11,6.29892301559448,2.25168991597403,284968955
2002,United States,1.70044732363073,21.7226602573604,184245,150200,1.01613965201918,5.783,6.793e+10,-4.75246e+11,6.35995531082153,1.55399465961345,287625193
2003,United States,2.795605965883,21.7456280086763,188941,153500,1.0221840098809,5.989,7.8112e+10,-5.41644e+11,6.3286075592041,1.9743147047601,290107933
2004,United States,3.84777169205226,22.6521453858971,189536,167407,1.74869094348654,5.529,1.60363e+11,-6.64765e+11,6.2537636756897,2.68908760322005,292805298
2005,United States,3.483549937943,23.3757186121201,207867,182866,1.09166231632209,5.084,-8.9753e+10,-7.82805e+11,6.17098331451416,3.13545455674655,295516599
2006,United States,2.78453963938148,23.5375300484967,221784,204182,2.16033590475335,4.623,-1.4662e+10,-8.37288e+11,6.16402912139893,3.08383673352866,298379912
2007,United States,2.00385829825838,22.5575761277216,241347,214807,2.39469075656401,4.622,1.77277e+11,-8.21193e+11,6.24331855773926,2.70925848658695,301231207
2008,United States,0.113587248258867,21.0374883665128,231588,224733,2.30937838146355,5.784,2.491e+09,-8.32492e+11,6.43608617782593,1.92670969899538,304093966
2009,United States,-2.57650023426996,17.768753245858,224912,231194,1.11260018343609,9.254,1.51514e+11,-5.09696e+11,6.73869848251343,0.616780715125771,306771529
2010,United States,2.6951925838264,18.6722135353972,241977,248249,1.75453192115262,9.633,8.5789e+10,-6.48673e+11,6.6945538520813,1.21528668186946,309327143
2011,United States,1.56440685438301,19.0335385248926,247750,255832,1.68911235141732,8.949,1.73119e+11,-7.40997e+11,6.49768352508545,2.06310947543149,311583481
2012,United States,2.28911338767897,19.9507258841994,268782,274033,1.54020833064168,8.069,1.26895e+11,-7.41118e+11,6.25388622283936,1.8621649281277,313877662
2013,United States,2.11783009919849,20.3792642750296,287831,283781,1.70686814034716,7.375,1.04665e+11,-7.00538e+11,6.22925806045532,1.70188036067233,316059947
2014,United States,2.52381981441982,20.9011935276745,285096,293706,1.43033863092168,6.168,1.35673e+11,-7.49917e+11,6.12920570373535,1.74161805258845,318386329
2015,United States,2.94555045455233,21.4151895660781,288335,301075,2.79548220201356,5.28,-2.09363e+11,-7.61866e+11,4.93063020706177,0.928042794757729,320738994
2016,United States,1.81945147474293,20.8879562484549,295327,310244,2.52268117379751,4.869,-1.74573e+11,-7.49801e+11,4.78327989578247,0.950322479212474,323071755
2017,United States,2.45762230322211,21.1557690246563,293904,313052,1.94177554246862,4.355,2.859e+10,-7.9934e+11,5.09296989440918,1.79080328489228,325122128
2018,United States,2.96650506916633,21.5690729259474,285095,312046,1.03945408799819,3.896,-3.45435e+11,-8.78748e+11,4.89502000808716,2.29089027694276,326838199
2019,United States,2.58382533018855,21.6698091948266,285113,336340,1.46696501417689,3.669,-2.01057e+11,-8.57259e+11,4.95746994018555,1.65046566913496,328329953
2020,United States,-2.16302913866514,21.4188185362955,269586,327586,0.641871902381299,8.055,1.45265e+11,-9.12878e+11,5.39998006820679,1.32883273821459,331526933
2021,United States,6.05505293304576,21.3332820408248,262244,329229,2.00921229782091,5.349,-1.33851e+11,-1.083187e+12,5.42829990386963,4.56598550261971,332048977
